reco_id,time_reco,id_sender,id_reciever,id_product,product_bought
5dc916dc-6fa3-488f-8ad2-fd14100fa113,2008-02-09 17:58:24,5565ac1e-4c2a-4fd8-b990-7a11d594dc0e,13a6c635-2f20-4e22-9e76-c3761d1111be,8605674,1
e9b6a2bb-58d4-4e62-8fda-239da00e42a1,1995-06-17 04:27:17,4c1e438a-2b8c-4f84-a22a-869eea346661,84f27bd9-0d26-4f84-b585-cca0e4bbd1d5,8603017,1
91a31be2-e71f-436a-917e-1ac65cc9ef2e,2002-04-10 19:26:53,51c3fb8f-c26f-4808-a69a-3f728256cf7a,8c333f9b-af38-4a0c-8bdc-428ffa061312,8763489,1
b69901f9-c70b-4133-be43-cc6116f1c8fd,2015-07-31 11:41:37,45e9a922-e602-4e8f-be77-d6486779ae0f,5f9dfbb7-8bca-494a-802e-f11f12c9906a,8607307,1
0ccdd3e7-a1cb-43fd-814d-a501278c9f9c,2001-04-06 20:20:43,250343f4-b757-4c3f-aaea-d7d3ddb14744,34d40a00-18f9-4fa5-9973-ffd5d8663c6f,8372995,1
824ab42b-2a5a-4672-9ab8-4762e2cba5c3,2002-07-19 00:19:43,ad55324b-21e5-422d-809d-3687b3e71b1e,24ae34f3-cef1-4e15-baad-7adc1542f361,8576263,1
8885b737-6a31-4336-83a3-9da04b406d68,1997-11-29 05:53:39,18373c0e-f0d6-4ed4-bf43-83e00ebb4a6c,1a06300f-719f-42ae-b490-09997ad01c8a,8741702,1
2c3ced72-992e-486c-a1bc-b9158544a336,1982-12-20 14:34:45,ca56ace2-7cdf-44a7-89ac-8d833a01bfac,85baade6-8e81-48bd-8aca-835d7e88169e,8560140,0
2890e53d-e3e3-4532-9977-cc7e1e3dd83f,2021-08-14 03:27:10,8af60fb3-5a93-4d02-96c6-4870b4d3decb,2ea01d23-cce8-45ee-8698-af6cb3d2bd32,8552940,1
6a806c59-bd66-4fa8-bfa7-d06d122b3ebd,2001-02-21 13:27:22,903a20b0-0a0f-48c8-8642-1144c6d8e5a2,0a8aba6b-218a-4a14-96ec-dce3ab19d3e7,8665918,0
bd8fc263-96c6-4715-ab10-fed9a689009d,1983-11-04 23:39:08,07017851-e9cc-40d2-a0f3-e82819761e72,b5e628ea-3e7b-44a2-a390-983d416bf177,8488895,1
21a5bf9c-20aa-4474-a492-0a56d7a277bf,2004-09-08 08:03:16,29bd6093-ba67-4319-8de3-68e36eefbae0,8936e863-d0a5-4bbe-b307-b0535b06c6b8,8662861,1
b4562d66-219d-49a7-85b2-7af0876a52d3,1973-08-15 22:46:31,11cec2dd-d5c8-4f64-9570-a75c6715c1ef,31a589da-19d7-44d1-b04c-9856fe3d0756,8543009,1
6aa72200-17f1-4194-9d7b-e7afb8d1b9fc,1998-04-20 02:19:51,5564d14b-3c58-4b41-b761-863b944969b8,f370f0d1-adf7-4890-acf3-d8391c35ad7a,8665309,0
1e8e8d53-1289-4a8c-bb63-0a142e0e7834,2011-03-20 23:36:20,82149b6c-3ed4-489c-8adf-1a171b31faf4,0cd57aed-2997-45a3-ad81-fda63ad475f5,8747042,0
1993ec96-de5c-4b51-b165-754d4b2119bc,2010-01-20 17:32:22,a3e78d82-a7db-4f8a-95b3-5bc0af55d165,e3d1e9ab-01fb-4ade-ae58-8449f8fbe742,8781636,0
